#,Title (English),Title (Sindhi),Author (English),Author (Sindhi),Year,Publisher,Category,Language,Link,Thumbnail
8420,Kitab-ul-Hind,کتابُ الہند,Al-Beruni,البيرونی,1994,"Muhammad Faisal, Lahore.",History,Urdu,https://lib.sindh.org/download/921,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c53ff29520c.png
8421,Band Akhyun Mein Kujh Yadoon Kujh Supna,بند اکين ۾ ڪجهہ يادون ڪجهہ سپنا (ڪھاڻيون),Tariq Ashraf,طارق اشرف,1992,"Sindhica Academy, Karachi.",Fiction,Sindhi,https://lib.sindh.org/download/920,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c53fbaddd34.png
8422,Bukh Ishq Adab,بک عشق ادب (مختصر آتم ڪٿا),Mohan Kalpna,موھن ڪلپنا,1984,"Roshni Publication, Kandiaro.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/919,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c53ea019a8d.png
8423,Mahtab (Shakhsiyat Kirdar Manjta),مهتاب (شخصيت­-ڪردار-مڃتا),Dr. Aftab Abro,ڊاڪٽر آفتاب ابڙو,2015,"Peacock Publishers, Karachi.",N/A,Sindhi,https://lib.sindh.org/download/918,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c53e2620f9e.png
8424,Sindh jo Bumbai khaan juda thiyaN,سنڌ جو بمبئي کان جدا ٿيڻ,Jamshed Mehta,جمشيد مهتا,1987,"Gulshan Publications, Hyderabad.",Politics,Sindhi,https://lib.sindh.org/download/917,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c53c8bd14d8.png
8425,Qiso Kotah,قصو ڪوتاھ (يادگيريون),Qazi Khadim,قاضي خادم,2019,"Kavita Publication, Hyderabad.",N/A,Sindhi,https://lib.sindh.org/download/916,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c53ade6337f.png
8426,Adabi Aino,ادبي آئينو,Lekhraj Kishinchand Aziz,ليکراج ڪشنچند عزيز,2006,"Sindhi Sahat Ghar, Hyderabad.",Literature,Sindhi,https://lib.sindh.org/download/915,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c537a475cc1.png
8427,Bahr Al Ishq Risalo,بحر العشق رسالو سيد رکيل شاهہ صوفي القادري,Syed Rakhyal Shah,سيد رکيل شاهہ (سهيڙيندڙ فتح چند ڪارڙا),2014,"Fateh Chand Kanaya, Karachi.",Poetry,Sindhi,https://lib.sindh.org/download/914,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5377cb3554.png
8428,PhulwaRi,ڦلواڙي,Muhammad Sidique Mangio,محمد صديق منگيو,2015,"Sindhi Language Authority, Hyderabad.",Fiction,Sindhi,https://lib.sindh.org/download/913,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c53731c2777.png
8429,Muhnijo Safar,منهنجو سفر,Qazi Faiz Muhammad,قاضي فيض محمد,1999,"Naz Sanai Sindhi Sahat Ghar, Hyderabad.",Travelogue,Sindhi,https://lib.sindh.org/download/912,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c536cde5bd5.png
8430,Ajho (Novel),اجهو (ناول),Hari Motwani,ھري موٽواڻي,1990,"Koonj Publication, Bombay.",Fiction,Sindhi,https://lib.sindh.org/download/911,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c53531353c1.png
8431,Feminism ain Sindhiani Tahreek jee Jedojahd,فيمينزم ۽ سنڌياڻي تحريڪ جي جدوجھد,Dr. Qasim Sodhar,ڊاڪٽر قاسم سوڍر,2021,"Roshni Publication, Kandiaro.",Politics,Sindhi,https://lib.sindh.org/download/910,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5351744801.png
8432,Manzar Mehky Thu,منظر مهڪي ٿو (شاعري),Muhammad Ali Pathan,محمد علي پٺاڻ,2021,"Koonj Academy, Karachi.",Poetry,Sindhi,https://lib.sindh.org/download/909,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5331468e20.png
8433,Baba e Sindh Comrade Hyder Bakhsh Jatoi,باباءِ سنڌ ڪامريڊ حيدربخش جتوئي,Ruk Sindhi,رڪ سنڌي,1990,"Saneeh Ishaat Ghar, Hyderabad.",Politics,Sindhi,https://lib.sindh.org/download/908,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c532d11b4cc.png
8434,"Sindhi, CSS, PCS ain Cheta Bheti jay Imtehan lae",سنڌي، سي ايس ايس _ پي سي ايس ۽ ٻين چٽا ڀيٽي جي امتحانن لاءِ,Aslam Sandilo,اسلم سنديلو,1987,"Graduate Publication, Karachi.",Education / Pedagogy,Sindhi,https://lib.sindh.org/download/907,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5329a9c9f9.png
8435,Fatahnamah-i-Sindh,فتح نامو سنڌ,Dr. Nabi Bakhsh khan Baloch,ڊاڪٽر نبي بخش خان بلوچ,2017,"Endowment Fund Trust, Karachi.",History,Sindhi,https://lib.sindh.org/download/906,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c53155abe63.png
8436,"Sindh, iqtidaar ain mufad",سنڌ، اقتدار ۽ مفاد (سنڌ جي سياسي تاريخ),Muhammad Waris Abbasi,محمد وارث عباسي,2018,"Sindh Rani Publication, Hyderabad.",Politics,Sindhi,https://lib.sindh.org/download/905,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c53115a2907.png
8437,Maqalat e Sarfaraz,مقالاتِ سرفراز,Dr. Anwar Figar Hakro,ڊاڪٽر انور فگار ھڪڙو,2011,"Allama Ghulam Mustafa Qasmi Chair, Jamshoro.",Articles,Sindhi,https://lib.sindh.org/download/904,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c530f5d6c93.png
8438,"Waij Monthly (Volume 1, Number 2, 3, 1991)",ماھوار ويڄ (جلد 1، نمبر 2، 3، 1991),Dr. Sanaullah Khokhar,ڊاڪٽر ثناءُ الله کوکر,1991,"Dr. Sanaullah Khokhar, Karachi.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/903,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c52fef640d2.png
8439,Diamonds of Wisdom,عقل جا هيرا,Faiz Mohammed khoso,فيض محمد کوسو,2021,"Faiz Mohammed khoso, Hyderabad.",N/A,English,https://lib.sindh.org/download/902,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c52e7b3fd54.png
8440,Sindh Ja Siyasi Kirdar,سنڌ جا سياسي ڪردار,Dr. Hameed Soomro,حميد سومرو,2016,"Zohaina Publications, Karachi.",Politics,Sindhi,https://lib.sindh.org/download/901,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c52e0a6ccaa.png
8441,Cultural Heritage Of Sindh,سنڌ جو ثقافتي ورثو,Anwar Pirzado,انور پيرزادو,2015,"Anwer Pirzado Academy, Karachi.",Culture / Civilization,English,https://lib.sindh.org/download/900,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c52de6cd8fe.png
8442,Sindh ja Soorma (Heroes of Sindh),سنڌ جا سورما (ڀاڱو پهريون),G. M. Syed,جي ايم سيد,1984,"Naeen Sindh Publications, Karachi.",Politics,Sindhi,https://lib.sindh.org/download/899,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c52b7e2e8ad.png
8443,1857 Se 1947 Kay Ahem Waqiat Sawal wa Jawab,سن ۱۸۵۷ع سے ۱۹۴۷ع کے اہم واقعات  (سوالا ً جواباً),Imtiaz Khorsheed,امتياز خورشيد,1989,"Feroz & Sons, Lahore.",History,Urdu,https://lib.sindh.org/download/898,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5281c1fe78.png
8444,Let's Speak Sindhi,اچو تہ سنڌي لکون,Faiz Mohammed Khoso,فيض محمد کوسو,2020,"Fiaz Mohammed Khoso, Karachi.",Dictionary,English,https://lib.sindh.org/download/896,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5241e69c6a.png
8445,Monthly Science Magazine,ماھوار سائنس ميگزين (جولائي-آگسٽ 1998),Javed Abbasi,جاويد عباسي,1998,"Sindh Scientific Council, Hyderabad.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/894,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c52081b4202.png
8446,Monthly Science Magazine,ماھوار سائنس ميگزين (جنوري 1993),Javed Abbasi,جاويد عباسي,1993,"The Ibrat Group, Hyderabad.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/893,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51f9f1342e.png
8447,Science Magazine Monthly (September 1992),ماھوار سائنس ميگزين (سيپٽمبر 1992),Javed Abbasi,جاويد عباسي,1992,"The Ibrat Group, Hyderabad.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/892,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51ee070b34.png
8448,Science Magazine Monthly (December 1992),ماھوار سائنس ميگزين (ڊسمبر 1992),Javed Abbasi,جاويد عباسي,1992,"The Ibrat Group, Hyderabad.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/891,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51df8eeb87.png
8449,PHuri Phuri Talau,ڦڙي ڦڙي تلاءُ,Zaffar Abbasi,ظفر عباسي,1980,Saahti Publication kandiaro.,Magazine / Journal,Sindhi,https://lib.sindh.org/download/890,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51d8c8351b.png
8450,Science Monthly (November 1971),ماھوار سائنس (نومبر 1971),Dr. Mumtaz Ali Qazi,ڊاڪٽر ممتاز علي قاضي,1971,"Sindhology, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/889,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51d39551a9.png
8451,Gadjanyun,گڏجاڻيون,Prof: Ram Panjwani,پروفيسر رام پنجواڻي,1982,"Sindhi Times Publications, Ulhasnagar.",N/A,Sindhi,https://lib.sindh.org/download/888,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51ce52148c.png
8452,Jam e Jam,جام جم (تصانيف شمس الدين بلبل 1),Ghulam Muhammad Girami,غلام محمد گرامي,1977,"Sindhi Adabi Board, Jamshoro.",Politics,Sindhi,https://lib.sindh.org/download/887,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51cc1cad40.png
8453,Gadaap ja gula,گڏاپ جا گل (لغت),Mansoor Thalho,منصور ٿلهو,2018,"Sambara Publications, Hyderabad.",Dictionary,Sindhi,https://lib.sindh.org/download/886,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51c9e953fb.png
8454,Science Monthly (May 1971),ماھوار سائنس (مئي 1971),Dr. Mumtaz Ali Qazi,ڊاڪٽر ممتاز علي قاضي,1971,"Sindhology, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/885,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51c2f8c317.png
8455,JaalaN jhangiyun saaN (Poetry),جالڻ جهانگين ساڻ (شاعري),Khadim Hussain Abro,خادم حسين ابڙو,2010,Unknown,Poetry,Sindhi,https://lib.sindh.org/download/884,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51c02b3ba1.png
8456,Guidance,گائيڊنس,Muhammad Ismail Ursani et al,محمد اسماعيل عرساڻي ۽ ٻيا,1970,"Ronaq Publications, Hyderabad.",Education / Pedagogy,Sindhi,https://lib.sindh.org/download/883,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51b7e61272.png
8457,Science Monthly (September 1971),ماھوار سائنس (سيپٽمبر 1971),Dr. Mumtaz Ali Qazi,ڊاڪٽر ممتاز علي قاضي,1971,"Sindhology, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/882,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51b649c610.png
8458,Gandhi: roop hazaar,گانڌي: روپ هزار,Anu Bandopadhyaya,انو بندوپاڌيائي,2014,"Phoenix Books, Hyderabad.",Politics,Sindhi,https://lib.sindh.org/download/881,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51ae1adfa9.png
8459,Science Monthly (July 1971),ماھوار سائنس (جولاءِ 1971),Dr. Mumtaz Ali Qazi,ڊاڪٽر ممتاز علي قاضي,1971,"Sindhology, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/879,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51a6c8d705.png
8460,Science Monthly (August 1971),ماھوار سائنس (آگسٽ 1971),Dr. Mumtaz Ali Qazi,ڊاڪٽر ممتاز علي قاضي,1971,"Sindhology, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/878,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c519b320873.png
8461,Kabir Jo Falsafo,ڪبير جو فلسفو,Manik Kingrani,ماڻڪ ڪنگراڻي,2003,"Sindh Book Club, Hyderabad.",Philosophy / Psychology,Sindhi,https://lib.sindh.org/download/876,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c518fef404f.png
8462,Kitab ul Shifa,ڪتاب الشفاءِ (هوميوپيٿڪ علاج تي هڪ منفرد ڪتاب),Hasan Ali Pitojo,ڊاڪٽر علي حسن پتوجو,2014,"Mohen-Jo-Daro Publishing Agency, Larkano.",Health / Medicine,Sindhi,https://lib.sindh.org/download/875,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5188d06973.png
8463,Science Monthly (October 1971),ماھوار سائنس (آڪٽوبر 1971),Dr. Mumtaz Ali Qazi,ڊاڪٽر ممتاز علي قاضي,1971,"Sindhology, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/874,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c518a629c5e.png
8464,Gaamooan jaa gufta,گامونءَ جا گفتا,Abdulmalik Memon,عبدالمالڪ ميمڻ,1995,Mehran Academy,Folk Literature,Sindhi,https://lib.sindh.org/download/873,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5186aab672.png
8465,ke wisran na moor,ڪي وسرن نہ مور (ڪجهہ خط),Nooruddin Sarki,نورالدين سرڪي,2001,"Sindh Adabi Academy, Karachi.",Letters,Sindhi,https://lib.sindh.org/download/871,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5182814602.png
8466,Ke na wisran moor,ڪي نہ وسرن مور (يادگيريون),Faiz Ahmed Faiz,فيض احمد فيض,2012,"Culture Department, Government of Sindh.",N/A,Sindhi,https://lib.sindh.org/download/869,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c516e4c2308.png
8467,Science Monthly (April 1971),ماھوار سائنس (اپريل 1971),Dr. Mumtaz Ali Qazi,ڊاڪٽر ممتاز علي قاضي,1971,"Sindhology, Jamshoro.",N/A,Sindhi,https://lib.sindh.org/download/868,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c516b735972.png
8468,Kalabagh Dam 1998,ڪالاباغ ڊيم,Barkat Ali Bhutto,برڪت علي ڀٽو,1998,"People Publishing Academy, Shikarpur.",Politics,Sindhi,https://lib.sindh.org/download/867,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51644990a6.png
8469,The Theory of Everything: The Origin and Fate of the Universe,ڪائنات جو مڪمل نظريو (ڪائنات جي جنم ۽ انت بابت اسٽيفن هاڪنگ جي ليڪچرن جو ڳٽڪو),Stephen Hawking,اسٽيفن هاڪنگ (سنڌيڪار علي مرتضيٰ ڌاريجو),2019,"Sindh Science Academy, Jamshoro.",Science,Sindhi,https://lib.sindh.org/download/866,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51572b8d3a.png
8470,Thatay Jaa Qadeem Aslami Yadgar,ٺٽي جا قديم اسلامي يادگار,Ahmed Hussain Dani,احمد حسين داني,2004,"Sindhi Adabi Board, Jamshoro.",Archeology / Architecture,Sindhi,https://lib.sindh.org/download/865,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51553dd143.png
8471,Monthly Science,ماھوار سائنس (مارچ اپريل مئي 1998),Dr. Sarfraz Hussain Solangi,ڊاڪٽر سرفراز حسين سولنگي,1998,"Sindh Science Society, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/864,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5155a1f694.png
8472,Ke ke maNRHuun vidya saagar,ڪي ڪي ماڻهو، وديا ساگر (مقالا، مضمون ۽ خاڪا),Manzoor Kohiyar,منظور ڪوهيار,2010,"Kanwal Publications, Qambar.",N/A,Sindhi,https://lib.sindh.org/download/863,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c515116a72b.png
8473,Kainaat jee Golha,ڪائنات جي ڳولا,Stephen Hawking,اسٽيفن هاڪنگ (سنڌيڪار نديم گل عباسي),1999,Sindhica,Science,Sindhi,https://lib.sindh.org/download/862,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51481358b4.png
8474,Saqafat ain insaani muashire jee osar,ثقافت ۽ انساني معاشري جي اوسر,Dr. Shamsudin Ursani,ڊاڪٽر شمس الدين عرساڻي,2015,"Osar IshaitaNo, Hyderabad.",Culture / Civilization,Sindhi,https://lib.sindh.org/download/861,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5146d99c2e.png
8475,Monthly Science,ماھوار سائنس (سيپٽمبر آڪٽوبر نومبر 1998),Dr. Sarfraz Hussain Solangi,ڊاڪٽر سرفراز حسين سولنگي,1998,"Sindh Science Society, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/860,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5144b4b41d.png
8476,Kavi Kashmor ja,ڪوي ڪشمور جا (گڏيل شاعري),Sahir Saleem Ogahi,ساحر سليم اوڳاهي,2017,"Sambara Publications, Hyderabad.",Poetry,Sindhi,https://lib.sindh.org/download/859,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c513fb553f2.png
8477,Teen Dunya Ja Soor,ٽين دنيا جا سور,Murli Dhar,\مرلي ڌر,2018,"Kavita Publications, Hyderabad.",N/A,Sindhi,https://lib.sindh.org/download/858,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51396b56be.png
8478,Three Novelettes,ٽي ناوليٽ (رڃ ۽ پڙاڏا، پاتال ۾ بغاوت ۽ لڙهندڙ نسل),Manik (Munir Ahmed),ماڻڪ (منير احمد),1992,"Roshni Publication, Kandiaro",Fiction,Sindhi,https://lib.sindh.org/download/857,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5136b8d6f6.png
8479,Science Monthly (1989 may-june),ماھوار سائنس (1989 مئي-جون ),Ali Murtaza Dharejo,علي مرتضيٰ ڌاريجو,1989,"Sindh Science Society, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/856,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c512c999964.png
8480,Kavta-PhulwaRi (Poetry),ڪوتا-ڦلواڙي (دنيا جي مختلف ٻولين جي چونڊ شاعري),Vali Ram Vallabh,ولي رام ولڀ,2006,"Kavita Publications, Hyderabad.",Poetry,Sindhi,https://lib.sindh.org/download/855,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51252cf1a6.png
8481,Kalabagh Dam ain Sindh,ڪالاباغ ڊيم ۽ سنڌ,Ghulam Muhammad Soomro,غلام محمد سومرو,1988,"Sindh Hari Committee, Hyderabad.",Politics,Sindhi,https://lib.sindh.org/download/854,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51252b6d86.png
8482,Kuh JaaNaan keDahn wiya,ڪهہ ڄاڻان ڪيڏانهن ويا,Sarang Sahto,سارنگ سهتو,2013,"Abdullah Foundation, Nawabshah.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/853,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c512356a949.png
8483,Kalabagh Dam,ڪالاباغ ڊيم,Aslam Khwaja,اسلم خواجہ,1998,"Kitab Publishers, Karachi.",Rivers / Water,Sindhi,https://lib.sindh.org/download/852,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c511ec7e31d.png
8484,Three Plays,ٽي ناٽڪ (عورتن جي جنگ، مسٽر سئمپسن، خود عظيم گلوب),Unknown,اڻڄاتل,2000,Unknown,Fiction,Sindhi,https://lib.sindh.org/download/851,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c511a9416ba.png
8485,Kalabagh Dam Ain Sooban Mein Paani Ji Wirhasat,ڪالاباغ ڊيم ۽ صوبن ۾ پاڻيءَ جي ورهاست جا مسئلا,Muhammad Idris Rajput,محمد ادريس راجپوت,2006,"Sindh National Academy Trust, Hyderabad.",Politics,Sindhi,https://lib.sindh.org/download/850,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c511769c3ce.png
8486,Lakho Phulani (Novel for Children),لاکو ڦلاڻي (ٻارن لاءِ ناول),Dr. Shamsudin Ursani,ڊاڪٽر شمس الدين عرساڻي,1982,Kitabi Dunya Publications,Fiction,Sindhi,https://lib.sindh.org/download/849,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c51177dc69e.png
8487,Lal Pushp aatam jeewni,لعل پشپ ( آتم جيوني - تواريخ - ناول),Lal Pushp,لعل پشپ,2002,Lal Pushp,History,Sindhi,https://lib.sindh.org/download/848,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5111734ea2.png
8488,Tre Putla,ٽي پتلا,Ibrahim Soomro,ابراهيم سومرو,1999,Mehran Academy,Children's Literature,Sindhi,https://lib.sindh.org/download/847,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c510d18bc19.png
8489,TriRandaR MukRiyoon,ٽڙندڙ مکڙيون (ناول),Koromal Chandanmal,ڪؤڙو مل چندنمل,1946,"Sindhi Sahat Mandal, Hyderabad.",Fiction,Sindhi,https://lib.sindh.org/download/846,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c510ae544a2.png
8490,Call Girl,ڪال گرل (ڪھاڻيون),Lachman Dev Bijlani,لڪشمڻ ديو بجلاڻي,2013,Nari Lachhwani,Fiction,Sindhi,https://lib.sindh.org/download/845,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5106296576.png
8491,Lub e Tareekh e Sindh,لب تاريخ سنڌ (1989),Khudadad Khan,خداداد خان (سنڌيڪار خير محمد اوحدي),1989,"Sindhi Adabi Board, Jamshoro.",N/A,Sindhi,https://lib.sindh.org/download/844,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c5102ff1ff4.png
8492,Karoonjhar (December 1977),ڪارونجهر (1977 ڊسمبر) ”گهوٽ چڙھيو گهاڻي“,Khadim Lakhiar,خادم لاکير,1977,"Khadim Lakhiar, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/843,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50fe07c50e.png
8493,Karoonjhar Publication (February 1976),ڪارونجهر (1976 فيبروري),Khadim Lakhiar,خادم لاکير,1976,"Khadim Lakhiar, Jamshoro.",Magazine / Journal,Sindhi,https://lib.sindh.org/download/842,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50f6889a6a.png
8494,Terhon Siju,تيرهون سج,Amrita Pritam,امرتا پريتم,1999,"Adabi Academy, Karachi.",N/A,Sindhi,https://lib.sindh.org/download/841,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50eeb6ea7c.png
8495,Kaaro chashmo,ڪارو چشمو (ڪھاڻيون),Rajab Azad,رجب آزاد,1999,"Sindhi Adabi Academy, larkano.",Fiction,Sindhi,https://lib.sindh.org/download/840,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50ea593bb5.png
8496,Kanwal Buka mein Chandr (Poetry),ڪنول ٻڪ ۾ چنڊ (شاعري),Mir Muhammad Pirzado,مير محمد پيرزادو,2017,"Sambara Publications, Hyderabad.",Poetry,Sindhi,https://lib.sindh.org/download/839,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50e8a86e17.png
8497,liberalsim ain islam,لبرل ازم ۽ اسلام,Imtiaz Gul,امتياز گل,2006,"Fredrich Nauman Foundation, Islamabad.",Politics,Sindhi,https://lib.sindh.org/download/838,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50e56f00c2.png
8498,Kaaro PaaNi,ڪارو پاڻي (ڪھاڻيون),Saeen Bakhsh Rind,سائين بخش رند,2005,"Poorab Publications, Johi.",Fiction,Sindhi,https://lib.sindh.org/download/837,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50e198623e.png
8499,Khan Pal jo chhanwro,کن پل جو ڇانورو (ناوليٽ),Mumtaz Bukhari,ممتاز بخاري,1997,"Sindhi Saahat Ghar, Hyderabad.",N/A,Sindhi,https://lib.sindh.org/download/835,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50d922603e.png
8500,Toon ii toon,تون ئي تون (شاعري),Zaffar Abbasi,ظفر عباسي,2007,"New Thinkers Forum, Hyderabad.",Poetry,Sindhi,https://lib.sindh.org/download/834,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50d72f2480.png
8501,Khumaach,کماچ (ناول),Akbar Soomro,اڪبر سومرو,2017,"Kavita Publications, Hyderabad.",N/A,Sindhi,https://lib.sindh.org/download/833,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50d568740e.png
8502,LaRyo siju lakan mein,لڙيو سج لڪن ۾ (شاعري),Shaikh Ayaz,شيخ اياز,1988,New Fields Publications,Poetry,Sindhi,https://lib.sindh.org/download/832,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50d4a7b6ed.png
8503,Tokhaan thendey dhaar,توکان ٿيندي ڌار (ڪھاڻين جو مجموعو),Sanobar Syed,صنوبر سيد,1994,"New Thinkers Forum, Hyderabad.",Fiction,Sindhi,https://lib.sindh.org/download/831,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50d0cd5006.png
8504,Golh aRi dil Golh,ڳول اڙي دل ڳول (شاعري),Maula Bux Dalwani,مولا بخش دلواڻي,2009,"Shah Latif Academy, Umarkot.",Poetry,Sindhi,https://lib.sindh.org/download/830,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50d0cc8ede.png
8505,KHUTHAABI KHAAN PROLITAREE TAEEN (Autobiographical Notes & Memories of Struggle),کٿابيءَ کان پرولتاري تائين,Faiz Muhammad Sheedi,فيض محمد شيدي,2015,"Kala Adab Publications, Hyderabad.",Autobiography / Biography,Sindhi,https://lib.sindh.org/download/829,https://library-sindhi-sp-2020.s3.us-east-2.amazonaws.com/covers/63c50d0bba95e.png
